地州,县市,景区名称,等级
伊犁州,新源县,那拉提景区,5A
伊犁州,特克斯县,喀拉峻景区,5A
乌鲁木齐市,乌鲁木齐县,乌鲁木齐天山大峡谷,5A
昌吉回族自治州,阜康市,天山天池风景区,5A
昌吉回族自治州,奇台县,江布拉克景区,5A
阿勒泰地区,布尔津县,喀纳斯景区,5A
阿勒泰地区,富蕴县,可可托海景区,5A
阿勒泰地区,哈巴河县,白沙湖景区,5A
克拉玛依市,乌尔禾区,世界魔鬼城景区,5A
博州,博乐市,赛里木湖景区,5A
吐鲁番市,示范区,葡萄沟景区,5A
巴音郭楞蒙古自治州,博湖县,博斯腾湖景区,5A
巴音郭楞蒙古自治州,和静县,巴音布鲁克景区,5A
喀什地区,喀什市,喀什古城景区,5A
喀什地区,泽普县,泽普县金湖杨景区,5A
喀什地区,塔什库尔干县,帕米尔旅游区,5A
阿克苏地区,阿拉尔市,三五九旅文化旅游区,5A
伊犁州,伊宁市,喀赞其民俗旅游区,4A
伊犁州,伊宁市,伊犁河风景区,4A
伊犁州,伊宁市,六星街景区,4A
伊犁州,伊宁市,伊犁州博物馆,4A
伊犁州,伊宁县,托乎拉苏景区,4A
伊犁州,伊宁县,天山花海景区,4A
伊犁州,尼勒克县,湿地古杨景区,4A
伊犁州,尼勒克县,唐布拉景区,4A
伊犁州,尼勒克县,吉林台亲水游乐区,4A
伊犁州,巩留县,库尔德宁景区,4A
伊犁州,巩留县,野核桃沟景区,4A
伊犁州,察布查尔县,锡伯民族博物馆,4A
伊犁州,霍城县,惠远古城景区,4A
伊犁州,霍城县,解忧公主薰衣草园,4A
伊犁州,霍城县,图开沙漠景区,4A
伊犁州,霍城县,大西沟中华福寿山,4A
伊犁州,霍尔果斯市,霍尔果斯中哈国际旅游区,4A
伊犁州,昭苏县,夏塔景区,4A
伊犁州,昭苏县,天马旅游文化园景区,4A
伊犁州,昭苏县,圣佑庙景区,4A
伊犁州,昭苏县,昭苏县湿地公园,4A
伊犁州,昭苏县,知青馆景区,4A
伊犁州,奎屯市,锦绣园风景区,4A
伊犁州,新源县,那拉提国家湿地公园景区,4A
伊犁州,新源县,肖尔布拉克西域酒文化博物馆,4A
伊犁州,特克斯县,八卦城·离街景区,4A
伊犁州,霍城县,霍城县果子沟景区,4A
乌鲁木齐市,乌鲁木齐县,苜蓿台生态公园,4A
乌鲁木齐市,达坂城区,新疆天山野生动物园,4A
乌鲁木齐市,米东区,红光山景区,4A
乌鲁木齐市,乌鲁木齐县,新疆丝绸之路国际度假区,4A
乌鲁木齐市,天山区,新疆国际大巴扎景区,4A
乌鲁木齐市,沙依巴克区,新疆自治区博物馆,4A
乌鲁木齐市,水磨沟区,水磨沟风景区,4A
乌鲁木齐市,水磨沟区,红山公园,4A
乌鲁木齐市,经开区（头屯河区）,乌鲁木齐市阿唛龙幻想乐园,4A
昌吉回族自治州,农业园区,新疆农业博览园,4A
昌吉回族自治州,呼图壁县,世纪园景区,4A
昌吉回族自治州,木垒县,天山木垒中国农业公园,4A
昌吉回族自治州,昌吉市,杜氏旅游景区,4A
昌吉回族自治州,昌吉市,庭州生态绿谷公园,4A
昌吉回族自治州,玛纳斯县,玛纳斯国家湿地公园雁飞台景区,4A
昌吉回族自治州,吉木萨尔县,千佛洞景区,4A
昌吉回族自治州,吉木萨尔县,北庭故城考古遗址公园,4A
昌吉回族自治州,木垒县,水磨河避暑休闲旅游度假区,4A
昌吉回族自治州,农业园区,华兴·悠游谷景区,4A
塔城地区,额敏县,野果林景区,4A
塔城地区,裕民县,巴尔鲁克风景区,4A
塔城地区,和布克赛尔县,松海湾景区,4A
塔城地区,乌苏市,佛山国家森林公园,4A
塔城地区,沙湾县,鹿角湾,4A
阿勒泰地区,布尔津县,五彩滩,4A
阿勒泰地区,布尔津县,草原石人哈萨克民族文化园,4A
阿勒泰地区,哈巴河县,白桦林景区,4A
阿勒泰地区,福海县,乌伦古湖景区,4A
阿勒泰地区,富蕴县,国家矿山公园景区,4A
阿勒泰地区,富蕴县,滨河景区,4A
阿勒泰地区,阿勒泰市,桦林公园,4A
阿勒泰地区,布尔津县,中俄老码头风情街,4A
阿勒泰地区,富蕴县,可可苏里景区,4A
阿勒泰地区,阿勒泰市,克兰河滨河景区,4A
阿勒泰地区,吉木乃县,草原石城景区,4A
阿勒泰地区,青河县,三道海子景区,4A
克拉玛依市,克拉玛依区,克拉玛依河景区,4A
克拉玛依市,克拉玛依区,黑油山景区,4A
克拉玛依市,独山子区,独山子大峡谷景区,4A
博州,阿拉山口市,阿拉山口边境旅游区,4A
博州,温泉县,温泉县圣泉景区,4A
博州,温泉县,温泉县鄂托克赛尔天泉景区,4A
博州,温泉县,温泉河谷林景区,4A
博州,博乐市,博尔塔拉河旅游区,4A
博州,精河县,精河县木特塔尔沙漠景区,4A
哈密市,伊州区,哈密翼龙-雅丹大海道景区,4A
哈密市,伊吾县,伊吾县胡杨林生态园景区,4A
哈密市,伊州区,哈密王景区,4A
哈密市,伊州区,哈密市东天山景区,4A
哈密市,巴里坤县,巴里坤湖景区,4A
哈密市,巴里坤县,巴里坤古城景区,4A
哈密市,巴里坤县,巴里坤高家湖景区,4A
哈密市,伊州区,哈密市文博院,4A
吐鲁番市,示范区,火焰山景区,4A
吐鲁番市,高昌区,坎儿井民俗园,4A
吐鲁番市,高昌区,大交河景区,4A
吐鲁番市,高昌区,坎儿井乐园,4A
吐鲁番市,高昌区,吐鲁番博物馆,4A
吐鲁番市,高昌区,高昌故城,4A
吐鲁番市,鄯善县,库木塔格沙漠景区,4A
吐鲁番市,鄯善县,吐峪沟景区,4A
吐鲁番市,鄯善县,楼兰酒庄,4A
巴音郭楞蒙古自治州,尉犁县,罗布人村寨景区,4A
巴音郭楞蒙古自治州,和硕县,金沙滩景区,4A
巴音郭楞蒙古自治州,轮台县,轮台县塔里木胡杨林公园,4A
巴音郭楞蒙古自治州,和静县,巩乃斯景区,4A
巴音郭楞蒙古自治州,库尔勒市,天鹅河景区,4A
巴音郭楞蒙古自治州,和静县,黄庙景区,4A
巴音郭楞蒙古自治州,焉耆县,霍拉山丝路古村,4A
巴音郭楞蒙古自治州,和静县,北山森林公园景区,4A
巴音郭楞蒙古自治州,库尔勒市,巴州博物馆,4A
巴音郭楞蒙古自治州,博湖县,开都河景区,4A
巴音郭楞蒙古自治州,若羌县,米兰古城景区,4A
阿克苏地区,阿克苏市,多浪河景区,4A
阿克苏地区,阿克苏市,国家湿地公园景区,4A
阿克苏地区,阿克苏市,阿克苏地区文博院（博物馆）,4A
阿克苏地区,库车市,库车王府,4A
阿克苏地区,库车市,天山神秘大峡谷,4A
阿克苏地区,库车市,克孜尔尕哈烽燧世界文化遗产公园,4A
阿克苏地区,沙雅县,沙雁洲景区,4A
阿克苏地区,沙雅县,渭干河生态文化旅游区,4A
阿克苏地区,新和县,沙漠花海景区,4A
阿克苏地区,新和县,加依村景区,4A
阿克苏地区,新和县,唐安西都护府文化园,4A
阿克苏地区,拜城县,克孜尔石窟,4A
阿克苏地区,拜城县,康其湿地,4A
阿克苏地区,温宿县,神木园,4A
阿克苏地区,温宿县,托木尔大峡谷景区,4A
阿克苏地区,温宿县,柯柯牙纪念馆,4A
阿克苏地区,温宿县,归园田居·塔村,4A
阿克苏地区,阿瓦提县,刀郎部落,4A
阿克苏地区,乌什县,沙棘林旅游景区,4A
阿克苏地区,乌什县,燕泉山景区,4A
阿克苏地区,柯坪县,齐兰古城,4A
克孜勒苏柯尔克孜自治州,阿克陶县,阿克陶县克州冰川公园景区,4A
克孜勒苏柯尔克孜自治州,阿图什市,阿图什市阿孜汗无花果民俗文化旅游景区,4A
喀什地区,喀什市,香妃园景区,4A
喀什地区,英吉沙县,南湖旅游度假区,4A
喀什地区,莎车县,莎车老城景区,4A
喀什地区,叶城县,叶城县宗郎灵泉景区,4A
喀什地区,麦盖提县,刀郎画乡,4A
喀什地区,巴楚县,红海旅游景区,4A
喀什地区,伽师县,伽师县城中胡杨文化旅游区,4A
喀什地区,岳普湖县,达瓦昆沙漠旅游风景区,4A
喀什地区,塔什库尔干县,花儿为什么这样红景区,4A
喀什地区,塔什库尔干县,红其拉甫国门旅游景区,4A
和田地区,和田县,和田乌鲁瓦提风景区,4A
和田地区,策勒县,策勒县达玛沟佛教文化遗址,4A
和田地区,和田市,团城景区,4A
和田地区,和田市,和田博物馆,4A
和田地区,墨玉县,墨玉老城景区,4A
和田地区,墨玉县,拉里昆国家湿地公园,4A
和田地区,于田县,库尔班·吐鲁木纪念馆,4A
和田地区,于田县,龙湖旅游区,4A
和田地区,策勒县,策勒县昆仑圣境（板兰格景区）,4A
和田地区,和田县,约特干故城景区,4A
伊犁州,伊宁市,紫苏丽人薰衣草创意产业园,3A
伊犁州,伊宁市,丝绸之路文化旅游城,3A
伊犁州,伊宁市,丝路之光旅游小镇,3A
伊犁州,伊宁市,林则徐纪念馆,3A
伊犁州,伊宁市,伊犁河酒文化产业园,3A
伊犁州,伊宁县,现代农业科技示范园,3A
伊犁州,伊宁县,天鹅泉景区,3A
伊犁州,伊宁县,愉群翁花儿民俗旅游区,3A
伊犁州,霍城县,阿伊朵薰衣草文化旅游景区,3A
伊犁州,霍城县,丝路农桑园,3A
伊犁州,霍城县,汉家公主薰衣草园,3A
伊犁州,霍城县,解忧公主薰衣草牧场,3A
伊犁州,新源县,花海那拉提,3A
伊犁州,新源县,伊犁野生植物园,3A
伊犁州,新源县,那拉泉景区,3A
伊犁州,新源县,杏花谷,3A
伊犁州,特克斯县,科桑溶洞国家森林公园,3A
伊犁州,特克斯县,易经文化园,3A
伊犁州,特克斯县,阿克塔斯姑娘峰景区,3A
伊犁州,巩留县,恰西塔里木景区,3A
伊犁州,巩留县,蝶湖公园,3A
伊犁州,霍尔果斯市,可克达拉风情园,3A
伊犁州,霍尔果斯市,霍尔果斯馕产业园,3A
伊犁州,昭苏县,喀夏加尔镇民俗馆,3A
伊犁州,昭苏县,草原石人景区,3A
伊犁州,昭苏县,天马文化博物馆,3A
伊犁州,昭苏县,水帘洞景区,3A
伊犁州,昭苏县,高原特色农业科技示范园,3A
伊犁州,察布查尔县,白石峰森林公园,3A
伊犁州,察布查尔县,伊犁河谷万亩薰衣草主题公园,3A
伊犁州,察布查尔县,1764文体公园,3A
伊犁州,尼勒克县,天山黑蜂庄园,3A
伊犁州,尼勒克县,乔尔玛烈士陵园纪念馆,3A
伊犁州,尼勒克县,天浴温泉山庄景区,3A
伊犁州,尼勒克县,滨湖渔村,3A
伊犁州,奎屯市,润民河景区,3A
乌鲁木齐市,高新区（新市区）,乌鲁木齐市植物园,3A
乌鲁木齐市,天山区,二道桥景区,3A
乌鲁木齐市,乌鲁木齐县,西白杨沟（南山牧场）,3A
乌鲁木齐市,乌鲁木齐县,东白杨沟风景区,3A
乌鲁木齐市,天山区,乌鲁木齐市烈士陵园,3A
乌鲁木齐市,沙依巴克区,乌鲁木齐市人民公园,3A
乌鲁木齐市,乌鲁木齐县,新疆亚洲大陆地理中心,3A
乌鲁木齐市,天山区,燕景神木源,3A
乌鲁木齐市,达坂城区,盐湖景区,3A
乌鲁木齐市,天山区,八路军驻新疆办事处纪念馆,3A
乌鲁木齐市,经开去（头屯河区）,八钢文化工业旅游景区,3A
昌吉回族自治州,农业园区,都市胡杨林景区,3A
昌吉回族自治州,呼图壁县,康家石门子景区,3A
昌吉回族自治州,呼图壁县,呼图壁国家级苗木交易市场馨·天地景区,3A
昌吉回族自治州,呼图壁县,呼图壁县大唐西域酒庄,3A
昌吉回族自治州,阜康市,西域大巴扎,3A
昌吉回族自治州,阜康市,碧琳城旅游小镇,3A
昌吉回族自治州,木垒县,鸣沙山·胡杨林景区,3A
昌吉回族自治州,木垒县,木垒草原坎儿井景区,3A
昌吉回族自治州,木垒县,英格堡乡月亮地村景区,3A
昌吉回族自治州,昌吉市,昌吉市滨湖河景区,3A
昌吉回族自治州,昌吉市,特变电工景区,3A
昌吉回族自治州,昌吉市,朗青休闲观光牧场,3A
昌吉回族自治州,昌吉市,新疆笑厨工业旅游景区,3A
昌吉回族自治州,昌吉市,昌吉小吃街,3A
昌吉回族自治州,昌吉市,乐活小镇,3A
昌吉回族自治州,奇台县,奇台县烈士陵园,3A
昌吉回族自治州,奇台县,新疆第一窖古城酒文化博物馆景区,3A
昌吉回族自治州,吉木萨尔县,天地园,3A
昌吉回族自治州,吉木萨尔县,北庭园,3A
昌吉回族自治州,吉木萨尔县,古海温泉,3A
昌吉回族自治州,玛纳斯县,黑梁湾山庄,3A
昌吉回族自治州,玛纳斯县,国家森林公园神榆台,3A
昌吉回族自治州,玛纳斯县,土炮营国家沙漠公园,3A
昌吉回族自治州,玛纳斯县,天山北麓葡萄酒博览园,3A
昌吉回族自治州,玛纳斯县,香海庄园,3A
昌吉回族自治州,吉木萨尔县,车师古道,3A
昌吉回族自治州,昌吉市,昌吉恐龙馆,3A
昌吉回族自治州,玛纳斯县,玛纳斯县博物馆,3A
昌吉回族自治州,奇台县,奇台县博物馆,3A
昌吉回族自治州,奇台县,七户乡一棵树景区,3A
昌吉回族自治州,奇台县,南湖欢乐谷,3A
昌吉回族自治州,吉木萨尔县,庭州湾公园,3A
昌吉回族自治州,准东开发区,天池能源南露天煤矿矿山公园（能源馆）,3A
昌吉回族自治州,农业园区,昌吉馕产业文旅小镇,3A
昌吉回族自治州,奇台县,腰站子,3A
昌吉回族自治州,吉木萨尔县,吉木萨尔北庭国家湿地公园,3A
昌吉回族自治州,玛纳斯县,玛纳斯县小海子跳鱼岛,3A
昌吉回族自治州,阜康市,飞览天下·新疆会客厅,3A
塔城地区,塔城市,巴克图口岸景区,3A
塔城地区,塔城市,塔城地区博物馆,3A
塔城地区,塔城市,哈尔墩民族团结旅游示范区,3A
塔城地区,塔城市,西部美食城,3A
塔城地区,塔城市,文化广场,3A
塔城地区,塔城市,奥布森生态林场,3A
塔城地区,塔城市,塔城巴克图中哈边民互市景区,3A
塔城地区,塔城市,塔城市文旅产业园,3A
塔城地区,塔城市,塔尔巴哈台山景区,3A
塔城地区,额敏县,滨河公园,3A
塔城地区,额敏县,萨尔巴斯民俗村,3A
塔城地区,额敏县,孟布拉克千泉谷景区,3A
塔城地区,额敏县,额敏县也迷里广场,3A
塔城地区,额敏县,额敏县杰勒阿尕什镇纳仁恰汗库勒村旅游景区,3A
塔城地区,裕民县,生态园,3A
塔城地区,托里县,白杨河湿地生态人文景区,3A
塔城地区,托里县,生态园,3A
塔城地区,托里县,塔斯特景区,3A
塔城地区,托里县,沙孜湖景区,3A
塔城地区,和布克赛尔县,双山公园景区,3A
塔城地区,和布克赛尔县,雅丹热气泉景区,3A
塔城地区,和布克赛尔县,龙脊谷景区,3A
塔城地区,和布克赛尔县,东归文化园景区,3A
塔城地区,和布克赛尔县,江格尔文化园景区,3A
塔城地区,和布克赛尔县,国家湿地公园景区,3A
塔城地区,和布克赛尔县,艾兰盐湖景区,3A
塔城地区,和布克赛尔县,骆驼石高台人类活动遗迹景区,3A
塔城地区,和布克赛尔县,准噶尔古城遗址景区,3A
塔城地区,乌苏市,九莲泉水景公园,3A
塔城地区,乌苏市,乌苏市甘家湖沙漠公园,3A
塔城地区,乌苏市,巴音沟景区,3A
塔城地区,乌苏市,胡杨林乐园,3A
塔城地区,乌苏市,九间楼乡荷花池景区,3A
塔城地区,乌苏市,沙舟酒庄,3A
塔城地区,乌苏市,泥火山景区,3A
塔城地区,乌苏市,百泉镇白杨树村生态旅游度假区,3A
塔城地区,乌苏市,乌苏市乌拉斯台旅游景区,3A
塔城地区,乌苏市,乌苏市乌斯图旅游景区,3A
塔城地区,乌苏市,乌苏市体育公园,3A
塔城地区,乌苏市,乌苏市和谐公园,3A
塔城地区,乌苏市,乌苏市花海·喜世界,3A
塔城地区,乌苏市,乌苏市儿童公园,3A
塔城地区,乌苏市,乌苏市街心花园,3A
塔城地区,乌苏市,乌苏市古尔图百里画廊,3A
塔城地区,乌苏市,乌苏市苏里坊田园综合体,3A
塔城地区,乌苏市,乌苏市古尔图武侠驿站,3A
塔城地区,沙湾县,温泉,3A
塔城地区,沙湾县,森林公园,3A
塔城地区,沙湾县,东大塘,3A
塔城地区,沙湾县,大盘美食城,3A
塔城地区,沙湾县,沙湾县千泉湖景区,3A
塔城地区,沙湾县,绢道影视城,3A
塔城地区,沙湾县,华录文化广场,3A
塔城地区,沙湾县,塔城乌沙安集海大峡谷,3A
塔城地区,沙湾县,沙湾县文化广场,3A
塔城地区,沙湾县,沙湾县雪水坊汉唐文化酒庄旅游景区,3A
阿勒泰地区,阿勒泰市,五百里·风情街景区,3A
阿勒泰地区,布尔津县,阿山鹿王文化苑,3A
阿勒泰地区,阿勒泰市,戈宝麻花海景区,3A
阿勒泰地区,布尔津县,七里滩景区,3A
阿勒泰地区,布尔津县,喀纳斯酒厂,3A
阿勒泰地区,哈巴河县,阿舍勒矿业景区,3A
阿勒泰地区,吉木乃县,吉木乃口岸景区,3A
阿勒泰地区,富蕴县,塔拉特民俗村,3A
阿勒泰地区,青河县,塔克什肯口岸,3A
阿勒泰地区,福海县,黄花沟现代农业产业园景区,3A
阿勒泰地区,富蕴县,赛马场景区,3A
阿勒泰地区,阿勒泰市,克兰大峡谷风景区,3A
阿勒泰地区,青河县,大小清河湿地公园,3A
阿勒泰地区,阿勒泰市,野卡峡景区,3A
阿勒泰地区,阿勒泰市,托勒海特景区,3A
阿勒泰地区,阿勒泰市,齐背岭景区,3A
阿勒泰地区,阿勒泰市,乌希里克野雪公园景区,3A
阿勒泰地区,布尔津县,七彩河风景区,3A
阿勒泰地区,福海县,乌伦古湖海上魔鬼城景区,3A
阿勒泰地区,青河县,青格里狼山景区,3A
阿勒泰地区,哈巴河县,哈龙沟景区,3A
阿勒泰地区,吉木乃县,托斯特乡塔斯特村   （石头村）,3A
阿勒泰地区,布尔津县,玉石塔斯景区,3A
阿勒泰地区,布尔津县,黄花谷景区,3A
阿勒泰地区,哈巴河县,克勒迭能景区,3A
阿勒泰地区,青河县,山楂园景区,3A
阿勒泰地区,布尔津县,白沙山景区,3A
克拉玛依市,克拉玛依区,克拉玛依展览馆（博物馆）,3A
克拉玛依市,克拉玛依区,生态休闲健身公园,3A
克拉玛依市,克拉玛依区,文化街景区,3A
克拉玛依市,克拉玛依区,荒漠绿洲生态园,3A
克拉玛依市,克拉玛依区,克拉玛依市科技馆景区,3A
克拉玛依市,乌尔禾区,恐龙文化苑,3A
克拉玛依市,乌尔禾区,乌尔禾影视城（大秦帝国影视城）,3A
克拉玛依市,乌尔禾区,纪氏部落影视城,3A
克拉玛依市,独山子区,独山子区科技馆,3A
克拉玛依市,白碱滩区,百里油区景区,3A
克拉玛依市,独山子区,独库公路博物馆,3A
克拉玛依市,独山子区,独山子展览（博物）馆,3A
克拉玛依市,克拉玛依区,小拐芳香植物园,3A
博州,精河县,精河县巴音阿门景区,3A
博州,精河县,精河县滨河风景区,3A
博州,精河县,精河县沙地桑农业休闲观光旅游景区,3A
博州,精河县,精河县五台古驿站特色小镇旅游景区,3A
博州,精河县,精河县平安敖包景区,3A
博州,精河县,精河县五棵树荷花池景区,3A
博州,温泉县,温泉县那达慕体育公园景区,3A
博州,温泉县,温泉县博格达尔村寨,3A
博州,温泉县,温泉县野鸭湖景区,3A
博州,温泉县,温泉县海棠驿站景区,3A
博州,温泉县,温泉县诗画克村田园综合体,3A
博州,温泉县,温泉县520垂钓公园景区,3A
博州,温泉县,温泉县阿敦乔鲁景区,3A
博州,温泉县,温泉县冷水鱼公园,3A
博州,温泉县,温泉县阿日夏特“仙泉”景区,3A
博州,温泉县,温泉县哈夏草原景区,3A
博州,温泉县,新疆北鲵文化园,3A
博州,阿拉山口市,阿拉山口国门彩城景区,3A
博州,博乐市,博乐市万亩海棠生态园景区,3A
博州,博乐市,博乐市荷韵之乡,3A
博州,博乐市,博乐市商业步行街（馕文化产业园）,3A
博州,博乐市,博乐市芍药花基地,3A
博州,博乐市,博乐市牧妃庄园,3A
博州,博乐市,博乐市阿里翁景区,3A
博州,博乐市,博乐市营盘水乡景区,3A
博州,博乐市,博乐市赛马场景区,3A
哈密市,伊吾县,伊吾县伊水园景区,3A
哈密市,伊州区,金色年华度假村,3A
哈密市,伊州区,哈密新雅艺术花园酒庄,3A
哈密市,伊州区,哈密瓜园景区,3A
吐鲁番市,高昌区,艾丁湖景区,3A
吐鲁番市,高昌区,葡萄乐园,3A
吐鲁番市,高昌区,苏公塔,3A
吐鲁番市,高昌区,火山红酒庄,3A
吐鲁番市,高昌区,交河驿·坎儿井源,3A
吐鲁番市,高昌区,阿斯塔那古墓,3A
吐鲁番市,高昌区,坎儿井传承区,3A
吐鲁番市,高昌区,火云谷景区,3A
吐鲁番市,示范区,火焰山大景区,3A
吐鲁番市,示范区,柏孜克里克千佛洞,3A
吐鲁番市,鄯善县,车师酒庄,3A
吐鲁番市,鄯善县,三个桥村,3A
吐鲁番市,鄯善县,新葡王国际生态酒庄,3A
